txn_date,value_date,narration,ref_no,debit,credit,balance
2026-02-06,2026-02-06,SETTLEMENT UTR 1581995604661839,1581995604661839,0,504384.46,2504384.46
09/02/2026,09/02/2026,UPI-SETTLEMENT-8868058911352909,8868058911352909,0,408640.51,2913024.97
10-Feb-26,10-Feb-26,NEFT CR-RAZORPAY SOFTWARE PVT LTD-UTR6609379660334191-STL,6609379660334191,0,285724.65,3198749.62
2026-02-12,2026-02-12,RTGS/8274225790507236/RAZORPAY/SETTLEMENT,8274225790507236,0,490375.22,3689124.84
18/02/2026,18/02/2026,NEFT CR-RAZORPAY SOFTWARE PVT LTD-UTR8126042232536729-STL,8126042232536729,0,640605.79,4329730.63
25-Feb-26,25-Feb-26,UPI-SETTLEMENT-2697311219656523,2697311219656523,0,499060.40,4828791.03
2026-03-05,2026-03-05,NEFT CR-RAZORPAY SOFTWARE PVT LTD-UTR5079252419138000-STL,5079252419138000,0,602138.89,5430929.92
06/03/2026,06/03/2026,NEFT CR-RAZORPAY SOFTWARE PVT LTD-UTR2127756185374741-STL,2127756185374741,0,519952.03,5950881.95
09-Mar-26,09-Mar-26,UPI-SETTLEMENT-6578759856420593,6578759856420593,0,479524.33,6430406.28
2026-03-11,2026-03-11,SETTLEMENT UTR 6915452267528953,6915452267528953,0,160965.54,6591371.82
16/03/2026,16/03/2026,UPI-SETTLEMENT-5704331541006762,5704331541006762,0,691292.78,7282664.60
21-Mar-26,21-Mar-26,RTGS/9921722332061632/RAZORPAY/SETTLEMENT,9921722332061632,0,528884.63,7811549.23
2026-03-25,2026-03-25,UPI-SETTLEMENT-4691373678508214,4691373678508214,0,524532.26,8336081.49
31/03/2026,31/03/2026,RTGS/5444328309652074/RAZORPAY/SETTLEMENT,5444328309652074,0,563945.10,8900026.59
31-Mar-26,31-Mar-26,NEFT CR-RAZORPAY SOFTWARE PVT LTD-UTR0583003354216894-STL,0583003354216894,0,309235.12,9209261.71
2026-04-03,2026-04-03,RTGS/7393483564208737/RAZORPAY/SETTLEMENT,7393483564208737,0,404877.15,9614138.86
09/04/2026,09/04/2026,RTGS/7014508993588916/RAZORPAY/SETTLEMENT,7014508993588916,0,674198.59,10288337.45
15-Apr-26,15-Apr-26,UPI-SETTLEMENT-7982708086978292,7982708086978292,0,463250.23,10751587.68
2026-04-18,2026-04-18,UPI-SETTLEMENT-6384066658004397,6384066658004397,0,417269.37,11168857.05
23/04/2026,23/04/2026,RTGS/7704358112880133/RAZORPAY/SETTLEMENT,7704358112880133,0,398481.28,11567338.33
26-Apr-26,26-Apr-26,NEFT CR-RAZORPAY SOFTWARE PVT LTD-UTR2832684245088210-STL,2832684245088210,0,730706.10,12298044.43
2026-05-02,2026-05-02,NEFT CR-RAZORPAY SOFTWARE PVT LTD-UTR8272299275037314-STL,8272299275037314,0,734660.51,13032704.94
07/05/2026,07/05/2026,UPI-SETTLEMENT-3886291279908811,3886291279908811,0,694980.43,13727685.37
10-May-26,10-May-26,RTGS/3920530214656693/RAZORPAY/SETTLEMENT,3920530214656693,0,521786.49,14249471.86
2026-05-16,2026-05-16,RTGS/2111790807595794/RAZORPAY/SETTLEMENT,2111790807595794,0,265571.19,14515043.05
20/05/2026,20/05/2026,NEFT CR-RAZORPAY SOFTWARE PVT LTD-UTR5647292931438663-STL,5647292931438663,0,580243.03,15095286.08
22-May-26,22-May-26,RTGS/2820055778487282/RAZORPAY/SETTLEMENT,2820055778487282,0,416256.58,15511542.66
2026-05-25,2026-05-25,NEFT CR-RAZORPAY SOFTWARE PVT LTD-UTR0208021442703120-STL,0208021442703120,0,321902.65,15833445.31
01/06/2026,01/06/2026,UPI-SETTLEMENT-0979251327195005,0979251327195005,0,668449.69,16501895.00
01-Jun-26,01-Jun-26,SETTLEMENT UTR 9576122868528975,9576122868528975,0,22775.50,16524670.50
2026-04-01,2026-04-01,NEFT CR-UNKNOWN COUNTERPARTY-UTR6593983684577600-STL,6593983684577600,0,1591.50,16526262.00
2026-04-01,2026-04-01,NEFT CR-UNKNOWN COUNTERPARTY-UTR9082404335048889-STL,9082404335048889,0,4954.50,16531216.50
2026-04-01,2026-04-01,NEFT CR-RAZORPAY SOFTWARE PVT LTD-UTR210752-STL,210752,0,16586.65,16547803.15
2026-04-02,2026-04-02,NEFT CR-RAZORPAY SOFTWARE PVT LTD-UTR556613-STL,556613,0,6027.10,16553830.25
2026-04-03,2026-04-03,NEFT CR-RAZORPAY SOFTWARE PVT LTD-UTR251790-STL,251790,0,7912.79,16561743.04
