settlement_id,settlement_utr,entity_id,type,amount,fee,tax,on_hold,settled,created_at,settled_at,payment_id,order_id,dispute_id,method,card_network
setl_0000_000,1581995604661839,ent_001,payment,44114.07,882.28,158.81,False,True,2026-01-31T00:00:00,2026-02-05T12:00:00,pay_00160,ord_00160,,NEFT,
setl_0000_001,1581995604661839,ent_001,payment,15717.40,314.35,56.58,False,True,2026-01-31T00:00:00,2026-02-05T12:00:00,pay_00476,ord_00476,,NEFT,
setl_0000_002,1581995604661839,ent_001,payment,42223.70,844.47,152.00,False,True,2026-01-31T00:00:00,2026-02-05T12:00:00,pay_00495,ord_00495,,CARD,MASTERCARD
setl_0000_003,1581995604661839,ent_001,payment,12592.63,251.85,45.33,False,True,2026-02-01T00:00:00,2026-02-05T12:00:00,pay_00356,ord_00356,,CARD,MASTERCARD
setl_0000_004,1581995604661839,ent_001,payment,47973.56,959.47,172.70,False,True,2026-02-01T00:00:00,2026-02-05T12:00:00,pay_00386,ord_00386,,UPI,
setl_0000_005,1581995604661839,ent_001,payment,30551.54,611.03,109.99,False,True,2026-02-01T00:00:00,2026-02-05T12:00:00,pay_00436,ord_00436,,NEFT,
setl_0000_005_rf,1581995604661839,ent_001,refund,-15275.77,0,0,False,True,2026-02-01T00:00:00,2026-02-05T12:00:00,pay_00436,ord_00436,,NEFT,
setl_0000_006,1581995604661839,ent_001,payment,9884.14,197.68,35.58,False,True,2026-02-02T00:00:00,2026-02-05T12:00:00,pay_00055,ord_00055,,RTGS,
setl_0000_007,1581995604661839,ent_001,payment,45749.74,914.99,164.70,False,True,2026-02-02T00:00:00,2026-02-05T12:00:00,pay_00222,ord_00222,,UPI,
setl_0000_008,1581995604661839,ent_001,payment,33702.59,674.05,121.33,False,True,2026-02-02T00:00:00,2026-02-05T12:00:00,pay_00385,ord_00385,,RTGS,
setl_0000_009,1581995604661839,ent_001,payment,30916.89,618.34,111.30,False,True,2026-02-02T00:00:00,2026-02-05T12:00:00,pay_00550,ord_00550,,RTGS,
setl_0000_010,1581995604661839,ent_001,payment,21968.45,439.37,79.09,False,True,2026-02-02T00:00:00,2026-02-05T12:00:00,pay_00585,ord_00585,,NEFT,
setl_0000_011,1581995604661839,ent_001,payment,8359.72,167.19,30.09,False,True,2026-02-03T00:00:00,2026-02-05T12:00:00,pay_00005,ord_00005,,NEFT,
setl_0000_012,1581995604661839,ent_001,payment,4376.68,87.53,15.76,False,True,2026-02-03T00:00:00,2026-02-05T12:00:00,pay_00178,ord_00178,,NEFT,
setl_0000_013,1581995604661839,ent_001,payment,20573.72,411.47,74.06,False,True,2026-02-03T00:00:00,2026-02-05T12:00:00,pay_00331,ord_00331,,NEFT,
setl_0000_014,1581995604661839,ent_001,payment,47594.26,951.89,171.34,False,True,2026-02-03T00:00:00,2026-02-05T12:00:00,pay_00409,ord_00409,,RTGS,
setl_0000_015,1581995604661839,ent_001,payment,19917.63,398.35,71.70,False,True,2026-02-04T00:00:00,2026-02-05T12:00:00,pay_00295,ord_00295,,RTGS,
setl_0000_016,1581995604661839,ent_001,payment,11090.30,221.81,39.93,False,True,2026-02-04T00:00:00,2026-02-05T12:00:00,pay_00353,ord_00353,,RTGS,
setl_0000_017,1581995604661839,ent_001,payment,31582.30,631.65,113.70,False,True,2026-02-04T00:00:00,2026-02-05T12:00:00,pay_00421,ord_00421,,NEFT,
setl_0000_018,1581995604661839,ent_001,payment,24565.18,491.30,88.43,False,True,2026-02-04T00:00:00,2026-02-05T12:00:00,pay_00582,ord_00582,,CARD,MASTERCARD
setl_0001_000,6617979688680589,ent_001,payment,797.43,15.95,2.87,False,True,2026-02-05T00:00:00,2026-02-08T12:00:00,pay_00127,ord_00127,,RTGS,
setl_0001_001,6617979688680589,ent_001,payment,27710.51,554.21,99.76,False,True,2026-02-05T00:00:00,2026-02-08T12:00:00,pay_00367,ord_00367,,UPI,
setl_0001_002,6617979688680589,ent_001,payment,18998.42,379.97,68.39,False,True,2026-02-05T00:00:00,2026-02-08T12:00:00,pay_00490,ord_00490,,CARD,RUPAY
setl_0001_003,6617979688680589,ent_001,payment,45847.80,916.96,165.05,False,True,2026-02-06T00:00:00,2026-02-08T12:00:00,pay_00087,ord_00087,,UPI,
setl_0001_004,6617979688680589,ent_001,payment,49504.36,990.09,178.22,True,True,2026-02-06T00:00:00,2026-02-08T12:00:00,pay_00097,ord_00097,,CARD,MASTERCARD
setl_0001_005,6617979688680589,ent_001,payment,47258.58,945.17,170.13,False,True,2026-02-06T00:00:00,2026-02-08T12:00:00,pay_00186,ord_00186,,NEFT,
setl_0001_006,6617979688680589,ent_001,payment,22323.49,446.47,80.36,False,True,2026-02-06T00:00:00,2026-02-08T12:00:00,pay_00217,ord_00217,,CARD,MASTERCARD
setl_0001_007,6617979688680589,ent_001,payment,28476.77,569.54,102.52,False,True,2026-02-06T00:00:00,2026-02-08T12:00:00,pay_00428,ord_00428,,NEFT,
setl_0001_008,6617979688680589,ent_001,payment,20705.77,414.12,74.54,False,True,2026-02-07T00:00:00,2026-02-08T12:00:00,pay_00057,ord_00057,,UPI,
setl_0002_000,2545738757177514,ent_001,payment,34274.32,685.49,123.39,False,True,2026-02-07T00:00:00,2026-02-09T12:00:00,pay_00080,ord_00080,,RTGS,
setl_0002_001,2545738757177514,ent_001,payment,43099.74,861.99,155.16,False,True,2026-02-07T00:00:00,2026-02-09T12:00:00,pay_00099,ord_00099,,UPI,
setl_0002_002,2545738757177514,ent_001,payment,14418.61,288.37,51.91,False,True,2026-02-07T00:00:00,2026-02-09T12:00:00,pay_00302,ord_00302,,RTGS,
setl_0002_003,2545738757177514,ent_001,payment,33898.37,677.97,122.03,False,True,2026-02-07T00:00:00,2026-02-09T12:00:00,pay_00425,ord_00425,,RTGS,
