txn_date,value_date,narration,ref_no,debit,credit,balance
2026-02-02,2026-02-02,UPI-SETTLEMENT-8810112877960095,8810112877960095,0,196770.18,2196770.18
07/02/2026,07/02/2026,NEFT CR-RAZORPAY SOFTWARE PVT LTD-UTR7031225620468515-STL,7031225620468515,0,291763.34,2488533.52
07-Feb-26,07-Feb-26,NEFT CR-RAZORPAY SOFTWARE PVT LTD-UTR8184609240612353-STL,8184609240612353,0,343960.29,2832493.81
2026-02-11,2026-02-11,SETTLEMENT UTR 5166934815675878,5166934815675878,0,428299.15,3260792.96
17/02/2026,17/02/2026,RTGS/0077159417673850/RAZORPAY/SETTLEMENT,0077159417673850,0,433535.49,3694328.45
17-Feb-26,17-Feb-26,NEFT CR-RAZORPAY SOFTWARE PVT LTD-UTR0226407959371858-STL,0226407959371858,0,107527.42,3801855.87
2026-02-20,2026-02-20,UPI-SETTLEMENT-81341384,8134138473873891,0,414231.99,4216087.86
23/02/2026,23/02/2026,RTGS/3453709710711422/RAZORPAY/SETTLEMENT,3453709710711422,0,586069.11,4802156.97
27-Feb-26,27-Feb-26,NEFT CR-RAZORPAY SOFTWARE PVT LTD-UTR8533522307676942-STL,8533522307676942,0,323845.07,5126002.04
2026-03-01,2026-03-01,NEFT CR-RAZORPAY SOFTWARE PVT LTD-UTR3550769520601957-STL,3550769520601957,0,251212.42,5377214.46
09/03/2026,09/03/2026,UPI-SETTLEMENT-40871523,4087152361092108,0,477920.49,5855134.95
12-Mar-26,12-Mar-26,RTGS/9396100511172860/RAZORPAY/SETTLEMENT,9396100511172860,0,347914.00,6203048.95
2026-03-16,2026-03-16,RTGS/7857907785986365/RAZORPAY/SETTLEMENT,7857907785986365,0,686152.95,6889201.90
20/03/2026,20/03/2026,RTGS/8670199776672176/RAZORPAY/SETTLEMENT,8670199776672176,0,488448.08,7377649.98
27-Mar-26,27-Mar-26,UPI-SETTLEMENT-3780508169504374,3780508169504374,0,579189.47,7956839.45
2026-03-28,2026-03-28,UPI-SETTLEMENT-9813274394099105,9813274394099105,0,432953.52,8389792.97
03/04/2026,03/04/2026,RTGS/1193339803195103/RAZORPAY/SETTLEMENT,1193339803195103,0,649281.06,9039074.03
06-Apr-26,06-Apr-26,RTGS/9045142768313062/RAZORPAY/SETTLEMENT,9045142768313062,0,238871.15,9277945.18
2026-04-11,2026-04-11,RTGS/7500186748297057/RAZORPAY/SETTLEMENT,7500186748297057,0,531404.86,9809350.04
15/04/2026,15/04/2026,RTGS/14221665/RAZORPAY/SETTLEMENT,1422166566755228,0,330231.23,10139581.27
20-Apr-26,20-Apr-26,NEFT CR-RAZORPAY SOFTWARE PVT LTD-UTR1734558933834980-STL,1734558933834980,0,585082.63,10724663.90
2026-04-22,2026-04-22,SETTLEMENT UTR 5403486626220139,5403486626220139,0,276661.73,11001325.63
27/04/2026,27/04/2026,RTGS/3031300706330896/RAZORPAY/SETTLEMENT,3031300706330896,0,557743.67,11559069.30
01-May-26,01-May-26,SETTLEMENT UTR 4244505612727954,4244505612727954,0,282983.36,11842052.66
2026-05-06,2026-05-06,UPI-SETTLEMENT-13499219,1349921916411180,0,561386.38,12403439.04
09/05/2026,09/05/2026,UPI-SETTLEMENT-6534077711787161,6534077711787161,0,394739.37,12798178.41
12-May-26,12-May-26,NEFT CR-RAZORPAY SOFTWARE PVT LTD-UTR70837925-STL,7083792526505230,0,178342.98,12976521.39
2026-05-17,2026-05-17,NEFT CR-RAZORPAY SOFTWARE PVT LTD-UTR5609523029497788-STL,5609523029497788,0,756092.33,13732613.72
24/05/2026,24/05/2026,UPI-SETTLEMENT-7975985565270265,7975985565270265,0,553108.53,14285722.25
28-May-26,28-May-26,UPI-SETTLEMENT-0030384379323442,0030384379323442,0,691013.66,14976735.91
2026-05-30,2026-05-30,RTGS/3237185304872955/RAZORPAY/SETTLEMENT,3237185304872955,0,300279.27,15277015.18
01/06/2026,01/06/2026,RTGS/8566423850525280/RAZORPAY/SETTLEMENT,8566423850525280,0,242351.57,15519366.75
2026-04-01,2026-04-01,NEFT CR-UNKNOWN COUNTERPARTY-UTR8519079960261284-STL,8519079960261284,0,4401.32,15523768.07
2026-04-01,2026-04-01,NEFT CR-UNKNOWN COUNTERPARTY-UTR8513903562616354-STL,8513903562616354,0,1825.09,15525593.16
2026-04-01,2026-04-01,NEFT CR-RAZORPAY SOFTWARE PVT LTD-UTR278802-STL,278802,0,15438.52,15541031.68
2026-04-02,2026-04-02,NEFT CR-RAZORPAY SOFTWARE PVT LTD-UTR294943-STL,294943,0,13561.01,15554592.69
2026-04-03,2026-04-03,NEFT CR-RAZORPAY SOFTWARE PVT LTD-UTR070711-STL,070711,0,15343.03,15569935.72
