settlement_id,settlement_utr,entity_id,type,amount,fee,tax,on_hold,settled,created_at,settled_at,payment_id,order_id,dispute_id,method,card_network
setl_0000_000,8810112877960095,ent_001,payment,22582.42,451.65,81.30,False,True,2026-01-31T00:00:00,2026-02-02T12:00:00,pay_00182,ord_00182,,RTGS,
setl_0000_001,8810112877960095,ent_001,payment,28629.75,572.60,103.07,False,True,2026-01-31T00:00:00,2026-02-02T12:00:00,pay_00186,ord_00186,,CARD,RUPAY
setl_0000_002,8810112877960095,ent_001,payment,41746.45,834.93,150.29,False,True,2026-01-31T00:00:00,2026-02-02T12:00:00,pay_00235,ord_00235,,CARD,MASTERCARD
setl_0000_003,8810112877960095,ent_001,payment,27725.02,554.50,99.81,True,True,2026-01-31T00:00:00,2026-02-02T12:00:00,pay_00239,ord_00239,,RTGS,
setl_0000_004,8810112877960095,ent_001,payment,6635.25,132.71,23.89,False,True,2026-01-31T00:00:00,2026-02-02T12:00:00,pay_00282,ord_00282,,CARD,VISA
setl_0000_005,8810112877960095,ent_001,payment,11040.43,220.81,39.75,False,True,2026-01-31T00:00:00,2026-02-02T12:00:00,pay_00288,ord_00288,,NEFT,
setl_0000_005_rf,8810112877960095,ent_001,refund,-11040.43,0,0,False,True,2026-01-31T00:00:00,2026-02-02T12:00:00,pay_00288,ord_00288,,NEFT,
setl_0000_006,8810112877960095,ent_001,payment,25004.06,500.08,90.01,False,True,2026-01-31T00:00:00,2026-02-02T12:00:00,pay_00307,ord_00307,,UPI,
setl_0000_007,8810112877960095,ent_001,payment,7063.41,141.27,25.43,False,True,2026-01-31T00:00:00,2026-02-02T12:00:00,pay_00325,ord_00325,,RTGS,
setl_0000_008,8810112877960095,ent_001,payment,41181.62,823.63,148.25,False,True,2026-02-01T00:00:00,2026-02-02T12:00:00,pay_00048,ord_00048,,NEFT,
setl_0000_009,8810112877960095,ent_001,payment,28950.11,579.00,104.22,False,True,2026-02-01T00:00:00,2026-02-02T12:00:00,pay_00157,ord_00157,,CARD,RUPAY
setl_0001_000,7031225620468515,ent_001,payment,40968.38,819.37,147.49,False,True,2026-02-01T00:00:00,2026-02-04T12:00:00,pay_00218,ord_00218,,UPI,
setl_0001_001,7031225620468515,ent_001,payment,25943.88,518.88,93.40,False,True,2026-02-01T00:00:00,2026-02-04T12:00:00,pay_00348,ord_00348,,NEFT,
